package,stars,downloads,gallery,description,CRAN
ggstackplot,NA,545,NA,Create Overlapping Stacked Plots,TRUE
ggmapcn,NA,503,NA,Customizable China Map Visualizations,TRUE
ggfootball,NA,326,NA,Plotting Expected Goals (xG) Stats with 'Understat' Data,TRUE
gg3D,104,NA,TRUE,NA,NA
gganatogram,383,NA,TRUE,NA,NA
ggtech,393,NA,TRUE,NA,NA
ggradar,340,NA,TRUE,NA,NA
ggtree,858,NA,TRUE,NA,NA
ggthemr,898,NA,TRUE,NA,NA
ggpirate,26,NA,TRUE,NA,NA
humapr,9,NA,TRUE,NA,NA
econocharts,252,NA,TRUE,NA,NA
ggchromatic,13,NA,TRUE,NA,NA
ggtranscript,135,NA,TRUE,NA,NA
ggterror,0,NA,TRUE,NA,NA
ggmagnify,278,NA,TRUE,NA,NA
ggoutlierscatterplot,4,NA,TRUE,NA,NA
ggautothemes,2,NA,TRUE,NA,NA
eheat,12,NA,TRUE,NA,NA
